8 16384
9108	7325	9330	7249	9999	7213	6555	4290	9049	470	123	1157	7440	7903	2507	2586
2032	7907	685	672	2688	8686	7339	595	7054	6550	3514	2821	44	791	8798	1154
7421	3880	7875	2822	4319	1772	7249	5384	7236	8388	7908	841	6606	9898	8678	4137
3772	5099	6663	304	1279	392	4612	9484	3343	5127	8641	861	1709	4202	182	5756
5500	5919	7697	6701	4862	3207	327	5883	4141	5323	8111	1249	1271	2263	6513	8635
6201	1378	3501	3357	1106	5383	1861	6414	5629	656	5895	6240	7780	7183	4588	535
4071	7487	390	2480	7958	3636	9162	6506	2154	8721	8908	5121	7620	3094	3966	5400
6906	9035	6143	5469	5918	5050	7699	9537	2641	3659	5794	461	9116	5453	6147	9759
5307	8981	4198	6235	5351	5788	9383	714	1445	9755	5045	6770	7164	1193	8380	7455
7759	6362	8141	1555	5970	9764	8141	3580	8513	9869	473	1528	1027	5649	4104	7125
1426	3663	7724	4512	8521	7395	8312	5704	4093	4530	7948	8983	2169	4013	2237	153
1513	2784	5026	8776	8405	2372	7363	269	3130	1685	1261	1501	566	1505	5167	4062
4824	405	3396	3120	7975	1934	2469	698	7837	8860	8314	852	3029	9289	8838	4858
7616	3876	7142	5885	2410	6230	1500	2286	9160	5763	4152	473	4948	683	7003	1324
7756	2812	4296	1958	2662	5235	1544	9903	9798	8841	2822	3921	3148	27	1860	7535
3122	5691	3509	3432	4403	4211	6411	6225	8763	4688	585	5574	4934	4393	8510	7285
5247	101	5027	269	7097	1173	5092	5917	5857	759	7087	8584	526	4519	8930	6095
5773	1403	4616	4224	106	6473	9653	7661	199	8996	4919	6968	8691	3705	9729	716
5357	9962	8278	1255	8137	6026	7442	977	7043	8129	760	3660	9723	2904	8157	6923
5773	5610	2779	7798	4611	5346	9372	4646	1879	427	9296	9328	2419	5159	486	7137
4270	1394	1530	7125	6578	1848	2121	2615	6549	7819	7855	5038	2064	8344	718	7653
4113	8313	4001	9410	5330	1869	1176	8220	4590	7920	635	5215	238	4164	6390	1945
9980	7775	7040	3292	2279	9781	4383	3303	4148	4747	4654	4823	3694	1675	1565	1995
8613	2814	5602	6650	6178	5198	6642	1095	3739	1621	8291	7112	3350	4132	7594	4732
4896	7147	4529	5197	6863	8030	322	2241	4567	7841	1354	6533	5060	8226	8000	3288
908	3156	1235	944	7239	7167	2927	507	5976	5198	8564	2821	8830	3999	1527	2227
2196	739	3694	2495	1639	613	2855	6936	2763	6963	4580	5347	9551	3778	4243	6209
4884	9933	1747	2150	7184	2997	338	9034	2796	5564	9789	7847	1436	9085	4587	737
6806	9423	2198	965	6055	7035	4246	3158	3123	6487	8872	1298	2439	2023	8001	1183
5091	1890	8803	6846	4959	9425	258	3107	6194	5239	7666	5240	8671	149	8382	8618
9078	6636	5115	7071	9318	6045	3168	5517	9582	7336	6079	8586	6094	4290	1338	3675
5380	9868	2492	9899	7566	3315	5125	9468	9863	9297	8555	5912	3149	565	4918	7642
1409	5337	16	8366	7267	3146	5816	9466	492	3362	6552	729	8031	2349	9638	4269
9001	9496	7092	9673	2790	6250	3289	3503	6158	1860	3169	4066	6464	61	5133	9468
1784	2107	1754	3691	7452	9882	8210	4268	8188	9594	8377	1352	7650	3224	4096	1447
