8 8192
9657	8093	8232	8235	5453	4823	2319	8839
7242	9062	8735	8085	4734	8997	350	3010
7945	9965	3447	4909	8164	8237	3415	8190
6843	1050	8596	1410	766	8465	2275	9241
6809	7085	5650	5986	3334	8710	465	1763
3400	2318	7651	7	2668	4381	9809	4823
4975	6449	8401	8131	8247	7009	5222	7081
3043	7167	3583	2126	328	7009	9295	972
3618	3016	9960	645	3672	9697	8851	8321
2134	5267	6182	3302	3305	7663	5889	34
8430	9803	8907	4288	660	7904	1693	4995
5717	2083	7365	5830	5924	595	4044	6612
1347	427	9575	9477	9389	7575	4541	2501
6443	925	9172	702	7140	3887	1398	4716
7494	4840	8372	2999	6239	1890	5352	8076
4931	944	7475	2169	1523	9736	7897	9917
2104	6083	5912	6623	3412	6613	8153	2838
8387	3028	2256	8654	2239	8624	609	2225
7601	7886	4400	6089	3701	1889	1993	1520
6844	8095	6491	485	422	7212	318	2922
5065	9001	4678	8356	5926	4915	3381	5110
653	7169	125	6844	2705	958	7698	1875
2200	5076	7812	9092	1511	4599	3885	1007
8286	5560	3244	187	2120	6583	5701	7070
6650	224	5957	9637	8139	4989	205	6354
4055	1217	1147	5040	2837	6842	1820	4566
4322	1185	9870	2202	9038	3710	7880	4306
4965	6658	2511	4779	203	8395	4507	4985
6117	3893	806	7802	2648	4381	4205	3675
5023	1726	3037	6328	4966	5640	6528	6048
5445	516	276	9047	5630	5136	5458	395
7882	649	598	546	1138	3082	4509	5904
8548	3911	7231	2815	2604	9619	3530	710
1152	7790	2735	4851	5607	3596	512	3330
2142	668	2293	4580	4503	1215	1491	825
578	938	961	3046	3482	1125	7968	7058
8286	5608	4424	7341	7369	3250	7340	8976
3886	4944	6868	884	9986	7327	4798	4557
8860	8168	6009	9385	4737	3815	3645	413
500	9173	269	407	4278	3114	2188	523
8369	3034	7861	1290	2260	3783	8331	7183
8541	9492	481	2313	8229	9597	4831	5963
8650	6545	3531	8461	4323	6667	6173	5453
9669	7926	1358	1899	2682	4658	6989	1452
2560	5502	2107	8009	9256	8171	9247	7641
9659	2226	6775	3022	274	5817	1198	1719
9740	8011	7970	4447	118	9555	4281	493
2995	7033	4706	8093	8284	7007	4989	7139
8920	4007	5912	2155	949	1165	7924	9088
1815	4604	9174	3447	9901	2672	6888	2570
5732	3214	9446	2685	2608	3107	979	3453
1395	4844	8564	9347	6304	8092	2356	4034
7460	6552	656	2296	3156	6533	3969	7037
6507	1775	3045	9624	123	7566	6809	4059
7783	5422	2660	9151	2064	1121	767	3392
6419	8784	3385	784	5883	125	3242	9211
5945	6451	4934	6789	8938	9125	2384	8320
745	3870	4321	8881	3919	9494	5620	9666
7761	1792	4109	1277	1602	6597	339	543
9966	5582	614	3627	5157	5742	8009	8293
4092	1638	90	3052	4510	4195	9949	807
9886	8139	1845	499	2350	4863	2333	4095
9328	2398	1268	9048	585	9085	6028	7477
1763	7552	9999	4045	4848	5493	5974	2716
7652	318	659	9200	7192	6337	74	4643
9425	3489	8844	8684	3898	594	1785	475
3144	932	7642	6969	5275	2661	2575	1958
6305	243	1374	9158	931	4448	856	5514
8103	2433	1725	2889	5370	1127	6474	1946
3425	6714	3864	1619	4236	5530	9484	6594
2593	5538	9703	6369	3640	895	9629	3337
1188	3474	4452	5106	7324	6988	2055	5206
1752	9981	6310	3815	6079	9798	6540	2726
8241	7204	6963	6318	6848	4300	9242	8896
5263	2720	3143	4690	6387	7628	5039	5475
5576	7284	2397	5527	6794	5190	2795	538
3897	1994	3699	6706	3166	501	189	4355
963	3694	9275	2247	4965	3288	2236	9919
9721	8000	3978	9607	2060	657	2713	6673
8427	5506	8141	5113	9350	7246	9401	2677
414	3641	1267	1786	9074	5639	9376	3067
5967	3720	862	4037	6809	4078	8506	6096
3228	264	5167	7449	4282	8027	2326	5572
3529	234	3455	107	1622	1896	6264	8494
4050	3383	8095	3153	8707	3489	5055	6092
1324	7405	4271	8785	2743	2235	275	4605
75	5073	1016	4966	9754	65	6040	9764
9693	6068	3642	8546	8934	6836	4946	8278
8613	4434	2821	3917	4738	3872	4400	2409
3777	3033	1616	6769	9381	2859	7529	8910
4186	4579	512	3532	895	211	1397	1457
5320	5831	1952	6473	9475	1497	3554	6849
8928	7147	7854	5630	8978	1537	995	1942
5497	8302	1163	9267	4356	7377	9892	421
1170	5633	1626	3848	6772	8768	4634	927
7242	5731	4757	7022	7585	8235	8221	9669
8510	3288	7533	8205	8593	3206	7453	4589
9819	5739	9297	4447	5965	7108	1938	8840
6555	6882	5030	1467	6377	5329	8374	8181
5268	485	894	3035	3495	8172	908	4786
2896	8435	3058	9258	1619	8944	9005	7200
6715	4025	45	7054	480	9364	5312	3368
1830	8976	9513	4809	9369	6976	9951	7129
1789	6930	1909	1729	8548	5182	2252	8698
7223	6355	4582	9265	3403	6959	6848	5090
78	6432	8738	3291	131	7731	3033	1900
4017	7180	7336	9519	7591	6070	9401	7068
8557	7026	8295	1574	9664	2082	775	8255
4569	1644	2012	2406	8492	6462	8290	2083
5910	3214	5209	925	365	6365	3968	569
8223	4041	4888	4210	8443	9075	6729	3736
5393	1673	8735	1657	6650	3851	2168	9754
1766	7041	3452	9233	2012	7964	7876	375
9508	4487	9483	661	3081	1246	5825	9145
5489	7012	9061	5169	9081	171	6960	6600
7186	2318	4081	5700	986	8829	1841	3138
7315	2851	7222	547	8000	1817	9978	6268
7775	5265	459	3652	5411	728	1460	4618
5883	4000	7269	892	5018	3614	2368	7875
3876	2791	8468	6022	7477	8145	5717	4389
9213	1856	2732	94	4408	2831	6742	185
5150	2027	1006	7071	8207	912	6977	1323
7524	7779	1300	4895	8022	2694	2138	6830
6869	1685	821	9585	118	8761	5148	5620
4954	8374	9807	4357	9959	8603	7079	7120
4162	1014	4949	4631	2351	7609	403	1177
2735	5668	849	7509	3334	5327	6539	9234
110	418	8788	1588	3389	7394	5310	4726
2867	5312	3121	6068	3408	3800	888	1344
1869	5635	2429	815	9605	8361	1695	4714
251	2558	4324	8511	3314	2888	9560	7163
3218	3514	4262	9807	9409	428	4157	7997
55	6934	8002	160	7508	3897	8110	5161
4310	2146	5413	918	4993	4536	7132	5991
1177	4347	2980	692	2786	3832	3906	330
8416	6812	6863	9275	6657	5483	2587	4431
4921	1529	1619	6433	5941	7552	1005	1839
2796	5094	1068	548	4683	6625	1598	1134
6869	7790	7161	6072	8846	4110	763	2229
8348	6038	9612	1888	4418	1796	3531	2993
9400	8971	6570	1956	6527	5811	9853	4747
6235	8038	2449	8363	1308	9434	8386	191
9163	3965	7588	849	286	2363	3296	5179
4088	9698	3943	3392	8820	1149	5329	1219
2784	4914	5484	2602	9513	1380	7149	6088
410	3101	6292	88	5663	2041	8185	1892
1514	4689	6080	1705	6827	8029	790	1641
4681	8479	2424	1789	3290	5997	6259	1160
5182	9704	5869	1670	201	5023	5648	2485
7965	2564	2008	2417	491	3462	8792	6530
4113	1760	6629	1676	1303	8945	5022	7637
4186	9036	5046	6650	7761	3328	8166	2525
8787	509	5583	1968	2202	5759	1688	1916
3454	749	1613	8309	9073	2588	3339	4111
3767	2163	9508	3148	7659	7838	9572	5920
3428	1125	2788	6240	2308	823	1916	1596
2040	2563	4096	704	8767	7517	9478	2122
3069	1945	742	6982	8923	4023	9017	1722
2939	5240	4220	1305	4015	2547	2138	6638
6193	5915	9558	6800	9086	7611	6122	8767
304	4353	8877	2972	3435	7393	2363	1760
5772	7377	1181	4595	8478	4610	2989	7942
26	6012	8567	8019	2780	150	82	3432
3203	2990	4616	4893	8336	9067	4304	5516
5345	2698	1915	286	3409	6791	7697	8256
9666	1502	5300	7701	4496	7030	342	9707
9138	7575	5188	8121	6030	6565	1153	7930
507	2745	3586	5407	8184	9937	6238	1751
